_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,amenities,price,security_deposit,extra_people,guests_included,address_street,country,host_neighbourhood,host_name,host_response_rate,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,availability_30,availability_60,availability_90,availability_365,weekly_price,monthly_price
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2016-01-03 05:00:00,2018-02-18 05:00:00,4,0.0,2.0,5,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",205.00,,0.00,1,"Brooklyn, NY, United States",United States,Greenpoint,Mae,100.0,9.0,10.0,10.0,8.0,9.0,9.0,88.0,30,31,31,243,,
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,Real Bed,2,1125,moderate,,,2,0.0,1.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Washer', 'Smoke detector', 'Essentials', 'Shampoo', 'Laptop friendly workspace', 'Hot water', 'Bed linens']",43.00,,12.00,1,"Montréal, Québec, Canada",Canada,,Caro,100.0,,,,,,,,0,0,0,32,,
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,Real Bed,4,20,flexible,2015-12-19 05:00:00,2018-03-27 04:00:00,3,1.0,2.0,3,1.0,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",699.00,,0.00,1,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,Soho,Giovanni,,10.0,10.0,10.0,10.0,10.0,8.0,100.0,0,0,0,0,5000.00,
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,Real Bed,1,1125,flexible,,,6,3.0,3.0,0,1.0,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",140.00,,0.00,1,"Montréal, Québec, Canada",Canada,Le Plateau,Margaux,,,,,,,,,0,0,0,0,,
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,,,5,2.0,2.0,0,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hair dryer', 'Iron']",858.00,4476.00,75.00,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,,Jonathan,,,,,,,,,0,0,0,0,,
10082307,Double Room en-suite (307),Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,,,2,1.0,1.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Doorman', 'Elevator', 'Family/kid friendly', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron']",361.00,,130.00,2,"Hong Kong, Kowloon, Hong Kong",Hong Kong,Jordan,Ken,90.0,,,,,,,,30,60,90,365,,
10082422,Nice room in Barcelona Center,Apartment,Private room,Real Bed,1,9,flexible,,,2,1.0,2.0,0,1.0,"['Internet', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",50.00,100.00,0.00,1,"Barcelona, Catalunya, Spain",Spain,Dreta de l'Eixample,Anna,,,,,,,,,0,0,0,0,,
10083468,Be Happy in Porto,Loft,Entire home/apt,Real Bed,2,1125,moderate,2016-01-02 05:00:00,2019-02-09 05:00:00,2,1.0,1.0,178,1.0,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",30.00,0.00,0.00,1,"Porto, Porto, Portugal",Portugal,,Fábio,90.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0,16,40,67,335,,
10084023,City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,2015-12-22 05:00:00,2019-03-01 05:00:00,1,1.0,1.0,81,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",181.00,0.00,100.00,1,"Hong Kong , 九龍, Hong Kong",Hong Kong,Shek Kip Mei,Yi,100.0,10.0,8.0,10.0,10.0,10.0,10.0,92.0,14,24,40,220,1350.00,5000.00
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2016-12-29 05:00:00,2018-03-18 04:00:00,2,0.0,1.0,64,1.0,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",181.00,300.00,0.00,1,"Surry Hills, NSW, Australia",Australia,Surry Hills,Ben,,10.0,9.0,10.0,10.0,10.0,9.0,95.0,0,0,0,0,,
10092679,Cozy house at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2017-10-08 04:00:00,2018-12-21 05:00:00,2,1.0,1.0,27,1.0,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",58.00,0.00,60.00,1,"Beyoğlu, İstanbul, Turkey",Turkey,Taksim,Ali,100.0,10.0,9.0,10.0,10.0,9.0,10.0,99.0,3,19,37,37,387.00,
10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2016-01-03 05:00:00,2016-01-03 05:00:00,2,1.0,1.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",145.00,,0.00,1,"New York, NY, United States",United States,Chelsea,Scott,,10.0,10.0,10.0,10.0,10.0,10.0,100.0,0,0,0,0,1000.00,
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,Real Bed,2,30,moderate,2016-06-30 04:00:00,2019-03-06 05:00:00,2,1.0,1.0,109,1.0,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",185.00,800.00,0.00,1,"Darlinghurst, NSW, Australia",Australia,Darlinghurst,Desireé,100.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,5,16,35,265,,
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,Real Bed,2,1125,moderate,,,2,1.0,1.0,0,2.5,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",250.00,400.00,0.00,1,"Rozelle, NSW, Australia",Australia,Lilyfield/Rozelle,Kristin,,,,,,,,,0,0,0,0,,
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,Real Bed,1,1125,moderate,,,2,1.0,1.0,0,1.0,"['TV', 'Cable TV', 'Wifi', 'Family/kid friendly', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Hot water', 'Long term stays allowed', 'Other']",40.00,0.00,25.00,2,"Porto, Porto, Portugal",Portugal,,Elisabete,,,,,,,,,30,60,87,359,230.00,600.00
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2016-02-01 05:00:00,2017-08-07 04:00:00,4,2.0,4.0,3,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",838.00,,0.00,1,"Şişli, İstanbul, Turkey",Turkey,Şişli,Ahmet,100.0,7.0,7.0,8.0,8.0,10.0,7.0,67.0,30,60,90,365,,
10116256,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,,,6,2.0,5.0,0,2.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",997.00,,0.00,1,"Şişli, İstanbul, Turkey",Turkey,Şişli,Ahmet,100.0,,,,,,,,30,60,90,365,,
10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,Real Bed,1,1125,flexible,,,5,3.0,3.0,0,1.5,"['Cable TV', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', '24-hour check-in', 'Iron']",933.00,,0.00,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,,Luiz Rodrigo,,,,,,,,,30,60,90,365,,
10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,Real Bed,7,180,moderate,2016-04-19 04:00:00,2017-08-27 04:00:00,2,1.0,1.0,12,1.0,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",40.00,250.00,0.00,2,"Vila do Conde, Porto, Portugal",Portugal,,Manuela,100.0,10.0,10.0,10.0,10.0,9.0,10.0,96.0,0,0,0,46,,
10120414,The LES Apartment,Apartment,Entire home/apt,Real Bed,3,1125,flexible,,,3,1.0,1.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",150.00,200.00,0.00,1,"New York, NY, United States",United States,,Mert,,,,,,,,,0,0,0,0,,
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,2016-05-28 04:00:00,2017-08-19 04:00:00,5,2.0,2.0,9,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",275.00,0.00,0.00,1,"New York, NY, United States",United States,,Chelsea,,9.0,8.0,10.0,9.0,9.0,9.0,90.0,0,0,0,0,,
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2017-05-04 04:00:00,2018-05-07 04:00:00,3,1.0,2.0,29,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",121.00,,0.00,1,"Fatih , İstanbul, Turkey",Turkey,,Mehmet Emin,100.0,9.0,9.0,10.0,10.0,10.0,9.0,92.0,30,60,90,365,,
10138784,Room Close to LGA and 35 mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2016-01-05 05:00:00,2018-11-28 05:00:00,2,1.0,1.0,123,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",46.00,0.00,10.00,1,"Queens, NY, United States",United States,Jackson Heights,Cheer,100.0,10.0,10.0,10.0,10.0,9.0,10.0,99.0,30,60,90,365,,
10140368,A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2016-01-06 05:00:00,2019-03-03 05:00:00,2,1.0,1.0,239,1.0,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",45.00,,10.00,1,"Queens, NY, United States",United States,Jamaica,Lane,100.0,10.0,10.0,10.0,10.0,9.0,10.0,95.0,20,29,29,34,,
10141950,"Big, Bright & Convenient Sheung Wan",Apartment,Entire home/apt,Real Bed,2,1125,moderate,2016-01-06 05:00:00,2016-01-06 05:00:00,2,0.0,1.0,1,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",966.00,,0.00,1,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,Sheung Wan,Regg,,10.0,10.0,10.0,10.0,10.0,10.0,100.0,0,0,0,0,,
10166883,Large railroad style 3 bedroom apt in Manhattan!,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,2016-01-03 05:00:00,2019-01-01 05:00:00,9,3.0,4.0,22,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",180.00,199.00,19.00,4,"New York, NY, United States",United States,East Harlem,Vick,,10.0,9.0,10.0,10.0,9.0,9.0,95.0,0,0,0,0,,
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,2016-01-01 05:00:00,2016-01-01 05:00:00,4,2.0,2.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",220.00,,0.00,1,"Brooklyn, NY, United States",United States,Williamsburg,Mohammed,,10.0,8.0,10.0,10.0,10.0,10.0,100.0,0,0,0,0,1400.00,
1016739,Private Room (2)  in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2013-07-15 04:00:00,2017-12-01 05:00:00,2,1.0,2.0,8,3.5,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",64.00,0.00,0.00,1,"Coogee, NSW, Australia",Australia,Coogee,David,100.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0,0,0,19,20,500.00,2000.00
10184012,Apto semi mobiliado,Apartment,Entire home/apt,Real Bed,1,1125,flexible,,,2,2.0,2.0,0,1.0,"['Air conditioning', 'Kitchen', 'Free parking on premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hangers', 'Iron']",380.00,,0.00,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,,Ricardo,,,,,,,,,30,60,90,365,,
10186755,Roof double bed private room,Loft,Private room,Real Bed,1,1125,flexible,,,2,1.0,2.0,0,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",185.00,,0.00,1,"Istanbul, İstanbul, Turkey",Turkey,,Mustafa,,,,,,,,,30,60,90,365,,
1019168,"Cozy Nest, heart of the Plateau",Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,2014-06-22 04:00:00,2019-01-08 05:00:00,1,1.0,1.0,62,1.0,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",34.00,0.00,10.00,1,"Montreal, QC, Canada",Canada,Mile End,Lilou,100.0,10.0,9.0,10.0,10.0,10.0,10.0,98.0,0,0,0,0,250.00,900.00
